"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long"
"2011-01-02",59,40,50,24,15,0,716,1734,0,30.27,7.3,"48-039-1004",0.038,"ppm",29.520443,-95.392509
"2011-01-02",59,40,50,24,15,0,716,1734,0,30.27,7.3,"48-039-1016",0.036,"ppm",29.043759,-95.472946
"2011-01-02",59,40,50,24,15,0,716,1734,0,30.27,7.3,"48-201-0026",0.036,"ppm",29.802707,-95.125495
"2011-01-02",59,40,50,24,15,0,716,1734,0,30.27,7.3,"48-201-0066",0.032,"ppm",29.724722,-95.503611
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-1015",0.037,"ppm",29.761653,-95.081386
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0047",0.022,"ppm",29.834722,-95.489167
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0416",0.033,"ppm",29.686389,-95.294722
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0046",0.028,"ppm",29.828086,-95.284096
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0024",0.031,"ppm",29.901037,-95.326125
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0070",0.029,"ppm",29.735129,-95.315583
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0055",0.031,"ppm",29.695744,-95.499262
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0062",0.034,"ppm",29.625833,-95.2675
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0026",0.037,"ppm",29.802707,-95.125495
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-167-1034",0.038,"ppm",29.254474,-94.861289
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-1035",0.032,"ppm",29.733726,-95.257593
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0075",0.029,"ppm",29.752778,-95.350278
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-039-1004",0.04,"ppm",29.520443,-95.392509
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-1034",0.032,"ppm",29.767971,-95.220587
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-1050",0.04,"ppm",29.583047,-95.015544
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0051",0.033,"ppm",29.623611,-95.473611
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-1039",0.04,"ppm",29.670025,-95.128508
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0029",0.031,"ppm",30.039534,-95.6739
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-201-0066",0.031,"ppm",29.724722,-95.503611
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-339-0078",0.04,"ppm",30.350302,-95.425128
"2011-01-03",62,40,51,40,14,0,717,1735,0,30.14,6.5,"48-039-1016",0.039,"ppm",29.043759,-95.472946
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0070",0.015,"ppm",29.735129,-95.315583
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0024",0.02,"ppm",29.901037,-95.326125
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0026",0.022,"ppm",29.802707,-95.125495
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-1035",0.02,"ppm",29.733726,-95.257593
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-1015",0.026,"ppm",29.761653,-95.081386
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0075",0.016,"ppm",29.752778,-95.350278
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0046",0.015,"ppm",29.828086,-95.284096
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-1034",0.021,"ppm",29.767971,-95.220587
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0416",0.022,"ppm",29.686389,-95.294722
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0062",0.022,"ppm",29.625833,-95.2675
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-1050",0.026,"ppm",29.583047,-95.015544
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0029",0.017,"ppm",30.039534,-95.6739
"2011-01-04",68,51,60,56,5,0,717,1735,0.26,29.98,6.6,"48-201-0047",0.012,"ppm",29.834722,-95.489167
